a- alatt
carrier hordozo
carrion dog
carrion-crow varju
carrot sargarepa
carrots sargarepa
carry hordtavolsag
carrycot mozeskosar
carrying elfogadas
carrying-on folytatas
carryon sportszatyor
carry-over atvitel
cart kezikocsi
cartage fuvardij
Cartesian derekszogu
carthorse igaslo
cartilage porc
cartilaginous porcos
cartograph terkep
cartographer terkepesz
cartographic kartografiai
cartography terkepeszet
carton kartondoboz
cartoon gunyrajz
cartoonist gunykeprajzolo
car-transporter autoszallito
cartridge loszer
cart-wheel ezustdollar
cartwheel kocsikerek
carver kepfarago
carving fafaragas
cascade fokozat
cascading kaszkadkapcsolas
cascet koporso
case doboz
case-book dokumentumgyujtemeny
casement ablakszarny
casework esettanulmany
cash keszpenz
cashier penztaros
cashmere kasmir
casing burkolat
casino filagoria
cask hordo
casket ekszerladiko
casque bub
cassava kasszava
casserole labas
cassia kasszia
cassia-tree kasszia-fa
cassis feketeribiszke-likor
cassock reverenda
cast arnyalat
castability higfolyossag
castaway hajotorott
caste kaszt
caster borsszoro
cast-iron hajlithatatlan
castle var
castor borsszoro
castoreum hodzsir
castorin hodpezsma
castor-wheel gorgo
castration kasztralas
casual alkalmi
casualness lezserseg
casualties veszteseg
casualty baleset
casuarina kazuarfa
cat csavo
cataclysm felfordulas
catacomb katakomba
catalepsy merevkor
catalog jegyzek
catalogue jegyzek
catalysis katalizis
catalyst katalizator
catalytic katalitikus
catalyzer katalizator
catamaran harpia
catapult katapult
cataract halyog
catarrh hurut
catastrophic katasztrofalis
catatonia katatonia
catatony meredtseg
catcall kifutyules
catch csapda
catcher fogojatekos
catchline focimsor
catchment forrasfoglalas
catchup ketchup
catchword orszo
catchy elbajolo
catechism hitoktatas
categorical feltetlen
category fogalomkor
caterer elelmezo
catering elelmezes
caterpillar hernyo
caterwaul nyavogas
caterwauling macskazene
caterwauls macskazene
catfish harcsa
cat-fish torpeharcsa
catflap macskaajto
catfood macskaeledel
cathartic hashajto
cathode katod
cathouse bordelyhaz
catmint gyongymenta
catnap szundikalas
cat-nap szunditas
catnip gyongymenta
catsup ketchup
cattle labasjoszag
catwalk futohid
Caucasian kaukazusi
Caucasus Kaukazus
caucus partvalasztmany
caudal fark-
caudally faroktajon
cauldron katlan
cauliflower karfiol
caulk tomites
causal kauzalis
causality kauzalitas
causative muvelteto
cause ok
causeless indokolatlan
causeway toltesut
causing okozo
caustic csipos
caution biztositek
cautious ovatos
cavalry lovassag
cavalryman huszar
cave barlang
caveat fenntartas
caveman barlanglako
cavern barlang
cavernous ureges
caviar kaviar
caviare kaviar
cavity lyuk
cavorting fickandozas
cawing karogas
cayman kajman
cease megallas
cease-fire tuzszunet
ceaseless szakadatlan
ceaselessly szakadatlanul
cedar cedrusfa
ceiling mennyezet
celebrated hires
celebration celebralas
celebrator unneplo
celebrity hiresseg
celerity gyorsasag
celery zeller
celestial egi
celibacy notlenseg
celibate notlen
cell cella
cellar pince
cellist csellista
cello csello
cellophane celofan
cells borton
cellulite zsirlerakodas
cellulose celluloz
cement cement
cementation cement-befecskendezes
cemetery temeto
censer tomjenezo
censor cenzor
censorial cenzori
censoring cenzurazas
censorious biralo
censoriously biraloan
censoriousness rosszakarat
censorship cenzura
censure biralat
census nepszamlalas
cent cent
centenarian szazeves
centenary centenariumi
centennial centenariumi
center centrum
centerline kozepvonal
centerpiece asztaldisz
centile centilis
centipede szazlabu
central kozep-
centralization centralizacio
centrally kozpontilag
centre centrum
centre-forward kozepcsatar
centre-piece asztaldisz
centrifugal centrifugalis
centrifuge centrifuga
centrifuging centrifugalas
centrist centrista
century evszazad
cephalopod fejlabu
ceramic keramia
cereal gabonanemu
cerebral agy-
ceremonial szertartasos
ceremonious formalis
ceremoniously szertartasosan
ceremony szertartas
cert biztos
certain bizonyos
certainly bizonyara
certainly! feltetlenul!
certainty biztos
certificate igazolas
certification igazolas
certitude bizonyossag
cessation megszunes
cesspool emesztogodor
chafe felhorzsolas
chaff ingerles
chaff-cutter szecskavago
chaffer adasvetel
chaffering alkudozas
chaffy ertektelen
chafing bedorzsoles
chafing-dish fozokeszulek
chafing-mat heveder
chafing-pan fozokeszulek
chagrin banat
chain lanc
chainsaw lancfuresz
chain-smoker lancdohanyos
chair szek
chairleg szeklab
chairman elnok
chaise cseza
chalet fahaz
chalice kehely
chalk kreta
chalky kretaszeru
challenge erdeklodeskeltes
challenge-cup vandordij
challenger felszolito
challenging kihivo
chamber aknakamra
chambermaid szobalany
chamber-pot ejjeliedeny
chameleon kameleon
chamfer rezsu
chamois-leather szarvasbor
champ bajnok
champagne pezsgo
champion bajnok
championship bajnoksag
chance alkalom
chancellor kancellar
chancre fekely
chancroid lagyfekely
chancrous fekelyes
chancy kockazatos
chandelier csillar
change apropenz
changeover atiranyitas
changer penzvalto
channel csatorna
channelling csatornazas
chant enekles
chanty matrozdal
chaos kaosz
chaotic kaotikus
chap ficko
chapeau kalap
chaperon gardedam
chaperone gardedam
chaplain kaplan
chappie alak
chappy alak
chapter fejezet
char bejarono
chara kirandulokocsi
charabanc kirandulokocsi
character betu
characteristic ismertetojel
characterization jellemzes
charcoal faszen
charge dij
charges kiadasok
charging feltoltes
chariot versenyszeker
charioteer kocsihajto
charismatic karizmatikus
charitable bokezu
charity alamizsna
charlatan kuruzslo
charm amulett
charmed elvarazsolt
charmer buvesz
charming bajos
charnel-house csontkamra
charred elszenesedett
charring elszenites
chart diagram
charter hajoberlet
chary korultekinto
chase arok
chaser hajoagyu
chasing cizellalas
chasm szakadek
chassis alvaz
chaste csiszolt
chastely szemermesen
chastisement fenyites
chastity erkolcsosseg
chat beszelgetes
chatter csicserges
chattily csevegve
chatty beszedes
chauffeur sofor
chauvinism sovinizmus
chauvinist soviniszta
cheap ertektelen
cheap-jack olcsojanos
cheapness olcsosag
cheat csalas
cheating csalas
check akadaly
check! sakk!
checkbook csekkfuzet
checked kockas
checkerboard ostabla
checkered tarka
checkers damajatek
checking egyeztetes
checkmate sakk-matt
checkout ellenorzes
checkroom ruhatar
check-up kivizsgalas
cheek arc
cheekbone arccsont
cheekily pimaszul
cheeks arc
cheeky pimasz
cheer arc
cheerful derus
cheerfulness jokedv
cheeriness deru
cheering biztato
cheerio! egeszsegere!
cheerleader vezerszurkolo
cheerless bus
cheers! egeszsegedre!
cheery felvidito
cheese gyumolcssajt
cheesy elegans
cheetah gepard
chef konyhafonok
chemise ing
chemist gyogyszeresz
chemist's gyogyszertar
chemistry kemia
chenille zsenilia
cheque csekk
cheroot manillaszivar
cherry cseresznye
cherry-red cseresznyepiros
cherry-tree cseresznyefa
chert csert
cherubic angyali
chess sakk
chessboard sakktabla
chest lada
chesterfield felsokabat
chestnut gesztenye
chevron szarufa
chew bago
chewing ragas
chewing-gum ragogumi
chic elegancia
chick csibe
chicken csibe
chicken-feed apropenz
chicken-hearted felenk
chicken-pox baranyhimlo
chicken-run baromfiudvar
chick-pea csicseriborso
chickweed tyukhur
chief elso
chiefly elsosorban
chieftain torzsfonok
chiffon feheraru
chiffons ruhadisz
chilblain fagyas
childbearing gyermekagy
childbirth lebetegedes
childhood gyerekkor
childing terhes
childish gyerekes
childishly gyerekesen
childishness gyerekesseg
childless gyermektelen
childlike gyerekded
children gyerekek
Chile Chile
Chilean chilei
chili csilipaprika
chill fagy
chilli csilipaprika
chilling behutes
chill-mould kokilla
chillun gyerekek
chilly baratsagtalan
chimaera agyrem
chime harangjatek
chimera agyrem
chiming harangozo
chimney kemeny
chimney-piece kandalloparkany
chimney-sweep kemenysepro
chimneysweep kemenysepro
chimp csimpanz
chimpanzee csimpanz
chin all
china porcelanedenyek
Chinese kinai
chink csenges
chintz butorkreton
chintzy bovli
chip csipogas
chipboard faforgacslemez
chipmunk mokus
chipped csorba
chipper elenk
chippings forgacs
chippy csaj
chips burgonyaszirom
chiropodist labapolo
chiropody labapolas
chiropractic chiropraxis
chiropractor csontrako
chirp ciripeles
chirpily jokedvuen
chirpiness deru
chirping ciripeles
chirpy elenk
chirrup csicserges
chisel becsapas
chiseled cizellalt
chiseler csalo
chiselled cizellalt
chit-chat cseveges
chiton toga
chivalrous lovagias
chivalry lovagiassag
chives metelohagyma
chloral kloral
chloride klorid
chlorinated klorozott
chlorine klor
chlorobenzene klorbenzol
chlorophyl klorofil
chlorophyllian klorofil-
choc-ice csokifagyi
chock alatet
chock-a-block osszepreselve
chockablock osszepreselve
choice finom
choir enekkar
choirboy koristafiu
choke elfojtodas
choked elmazolt
choking eldugulas
choking-coil fojtotekercs
cholera kolera
choleric robbanekony
cholesterol koleszterin
choosey finnyas
choosy finnyas
chop allkapocs
chopper helikopter
choppy berepedezett
chops pofa
chop-sticks evopalcikak
chopsticks evopalcikak
choral enekkari
chorale koral
choralist kardalos
chord akkord
choreograph koreografus
choreographer koreografus
choreographic koreografiai
choreography koreografia
chorister kantor
chorus enekkar
chorus-girl kardalosno
chorus-master karmester
chorus-singer kardalos
chow kaja
chow! csao!
chowslinger csalinger
christening keresztelo
Christian kereszteny
chrome krom
chromium krom
chromium-plated kromozott
chromosome kromoszoma
chronic idult
chronicle kronika
chronicler kronikas
chronologic idorendi
chronological idorendi
chronology idorend
chrysanthemum krizantem
chubby pufok
chuck befogotokmany
chuckle kuncogas
chucklehead tokfej
chuckling kuncogo
chuff dagadt
chug pofoges
chug! puff!
chum cimbora
chummy bizalmas
chump tokfej
chunky izmos
church egyhaz
churchyard temeto
churn keverogep
churn-dasher keverolapat
churner kopulogep
churning haborgas
churn-staff keverolapat
chute csuszda
cicatrice csirafolt
cicatricial heg-
cicatricle csirafolt
cicatricose forradasos
cicatricule csirafolt
cider almabor
cider-mill almadaralo
cider-press almabor-pres
cig blaz
cigar szivar
cigar-eating lancdohanyos
cigarette cigaretta
cigarette-end cigarettaveg
cinch nyeregheveder
cinder hamu
cindery hamuszeru
cindrous hamuszeru
cinema mozi
cinnamon fahej
cipher monogram
cipherer rejtjelzo
ciphering rejtjelezes
cipher-stencil rostely
circa cirka
circadian egynapi
circaea varazslofu
circassia cirkasszia
circassian cserkesz
circle ciklus
circuit aramkor
circuitous hosszadalmas
circuitously hosszadalmasan
circularity koralakusag
circulation forgalom
circulatory keringesi
circumference kerulet
circumferential keruleti
circumlocution kerteles
circumscription elhatarolas
circumspect korultekinto
circumspection korultekintes
circumspectly korultekintoen
circumstances korulmenyek
circumstantial hosszadalmas
circumstantiality korulmenyesseg
circumstantially reszletesen
circus cirkusz
cistern vecetartaly
citadel fellegvar
citation idezet
citified elvarosiasodott
citizen allampolgar
citizenry polgarsag
citizenship allampolgarsag
city varos
civic polgari
civies civil
civil bekes
civilian civil
civilisation civilizacio
civilised civilizalt
civility udvariassag
civilization civilizacio
civilized civilizalt
civil-spoken udvarias
civvies civil
clack fecseges
cladding vedoburkolat
claim igeny
claimant felperes
clairaudient telepata
clairvoyance eleslatas
clairvoyant eleslatasu
clam arboctamaszto
clambake kagylosutes
clamber kapaszkodas
clammy hideg
clamor larma
clamorous hangoskodo
clamour larma
clamp arboctamaszto
clamping leszoritas
clamshell markolo
clan klan
clandestine rejtett
clang csenges
clanging csengo
clangorous csengo
clank csorges
clanking csengo
clankingly csengoen
clanky csorgo
clap csattanas
clapper harangnyelv
claptrap feldicseres
claret vorosbor
clarifier deritoanyag
clarinet klarinet
clarity tisztasag
clash csapas
clashing csapas
clasp csat
class eloadas
classic elsorangu
classical klasszikus
classifiable besorolhato
classification beosztas
classified bizalmas
classifier osztalyozo
classmate osztalytars
classroom eloadoterem
classy elokelo
clatter csattogas
clause cikkely
claustral klastromi
claustrophobia klausztrofobia
claw karom
clay agyag
clayey agyagos
claymore klemor
clay-pigeon agyaggalamb
clean akadalymentes
clean-cut egeszseges
cleaner takarito
cleaning tisztit
cleanliness rendesseg
cleansing tisztitas
clean-up razzia
cleanup razzia
clear akadalymentes
clearance elvamolas
clearing tisztas
clearinghouse kliringintezet
clearly vilagosan
clear-out letisztult
cleat borszeg
cleavage hasadas
cleft hasadek
clemency elnezes
clement elnezo
clench fogas
clergy klerus
cleric lelkesz
clerical irnoki
clerk adminisztrator
clerkess hivatalnokno
clerkly hivatali
clever ugyes
clew gombolyag
cliche kozhely
click csattanas
clicker tordelo
client kliens
clientele klientela
cliff koszirt
climate klima
climax emelkedes
climaxing kulminalo
climb emelkedes
climber emelkedo
climbing emelkedes
clime eghajlat
clinch atkarolas
clincher gumiperem
clinching megdonthetetlen
clinch-nail csavarszeg
clingfilm folpack
clinic klinika
clinical klinikai
clink borton
clinker baki
clinkering osszesules
clinkers szarcsimbok
clip befogopofa
clippers metszoollo
clipping jegylyukasztas
clips klipsz
clique banda
clitoris csiklo
cloak kopeny
cloaked alcazott
cloaking takaras
cloakroom ruhatar
clobber cokmok
clock ora
clockface szamlap
clockwork oramu
clod gorongy
clog akadaly
clog-dance kopogos
cloister kerengo
close alapos
closed csukott
close-knit zart
close-mouthed kuka
closeness dohossag
closet budoar
close-up kozelkep
closeup kozelkep
closure bezaras
clot csomo
cloth ruhaanyag
clothes oltozek
clothes-peg ruhacsipesz
clothespin ruhacsipesz
clothing oltozet
cloud arnyek
cloud-burst felhoszakadas
cloudburst felhoszakadas
cloud-cuckoo-land abrandvilag
clouded felhos
cloudless felhotlen
cloudy borus
clout pofon
clove gerezd
clover lohere
cloverleaf loherelevel
clown bohoc
clowning bohockodas
cloying csomor
club bunkosbot
clubbing egyesules
clubby sikamlos
club-house klubhelyiseg
clubhouse klubhelyiseg
club-law okoljog
clubs treff
cluck kotyogas
clucking kotyogo
clue bunjel
clump csomo
clumsiness esetlenseg
clumsy balkezes
clunk dordules
clunker tragacs
cluster csomo
clutch kuplung
clutter osszevisszasag
cluttered rendetlen
co. m.
coach autobusz
coaching betanitas
coagulation koagulacio
coal koszen
coalbin szeneslada
coal-field koszenmedence
coalition egyesules
coaming gadorkava
coarse durva
coarseness durvasag
coast part
coastal parti
coaster poharalatet
coastline partvonal
coat bevonat
coated bevont
coater mazologep
coathanger ruhaakaszto
coating alapozas
coat-rack fogas
coat-stand ruhafogas
coattails frakkszarny
co-author tarsszerzo
coaxing behizelgo
coaxingly hizelegve
cobalt kobalt
cobble folyamkavics
cobbler foltozovarga
cobra kobra
cob-web pokhalo
cobweb pokhalo
cocaine kokain
coccidiosis belgyulladas
cock badarsag
cockade kokarda
cockaded kokardas
cockatoo kakadu
cockeyed abszurd
cockiness arcatlansag
cocking-piece elsutobillentyu
cockle kagylo
cockney varoslako
cockpit pilotafulke
cockroach csotany
cocksucker faszfej
cock-sure arcatlan
cock-sureness arcatlansag
cocktail holyva
cock-up fejetlenseg
cocky bekepzelt
cocoa kakao
coconut kokuszdio
cocoon bab
co-current egyenaramu
cod alak
code kod
coding becikkelyezes
co-ed diaklany
coefficient egyutthato
coequal egyenrangu
coercion kenyszer
coercive kenyszerito
coexistence egyutteles
coffee kave
coffer jaszolgat
coffer-dom jaszolgat
coffin koporso
cofounder tarsalapito
co-founder tarsalapito
cog csap
cogency hathatossag
cogent hathatos
cogitation gondolkodas
cognac konyak
cognition eszleles
cognitive megismero
cognizance cimer
cognoscente inyenc
coherence osszefugges
coherency osszefugges
coherent kovetkezetes
cohesion kohezio
cohesive egyesito
cohesively koheziosan
cohesiveness koheziokepesseg
cohort csapat
coil orso
coin erme
coinage alkotas
coincidence egybevagas
coincident egybeeso
coincidently egybeesoen
coital kozosulesi
coition kozosules
coitus kozosules
coke kokain
cokehead kokainszedo
coking kokszolas
cola kola
colander szuro
cold baratsagtalan
coldhearted koszivu
coldly baratsagtalanul
coldness hideg
colds megfazas
cole atkarolas
cole-slaw kaposztasalata
coliseum amfiteatrum
collaboration egyuttmukodes
collaborator kollaborans
collage kollazs
collagen kollagen
collagenous enyvkepzo
collagist collage-keszito
collapse ajulas
collapsible kinyithato
collar aknagador
collarbone kulcscsont
collateral biztositek
collation egybevetes
collator szovegegyezteto
collect utanvetelezett
collected fegyelmezett
collection gyujtemeny
collective egyuttes
collectivism kollektivizmus
collector aramszedo
college egyetem
collied fekete
collier szenbanyasz
colliery koszenbanya
collision karambol
collocation szokapcsolat
colloid kolloid
colloidal kolloid
colloquial bizalmas
colmation feltoltes
Cologne Koln
colon kettospont
colonel ezredes
colonial gyarmati
colonialism gyarmatositas
colonialist kolonialista
colonic vastagbel-
colonics allovet
colonist gyarmatos
colonization gyarmatositas
colonizer gyarmatosito
colony csoport
coloration festodes
colorful szines
colossal kolosszalis
colour szin
colour-blind szinvak
colourblind szinvak
colourblindness szinvaksag
colourful szines
colourless szintelen
colt csiko
columbarium kolumbarium
column oszlop
columnar oszlopos
columnist rovatvezeto
coma ajulas
comatose aluszekony
comb fesu
combat csata
combatant harcos
combative harcias
combativeness harciassag
combination kombinacio
combinations rugdalozo
combine erdektarsulas
combined egyesitett
combiner kombajnvezeto
combining szerkesztes
combustible egheto
combustion felfordulas
combustor egokamra
come-at-table elerheto
come-back magahozteres
comeback magahozteres
comedian komikus
comedienne komika
comedy komedia
comely bajos
comer erkezo
comestible eheto
comet ustokos
comeuppance szidas
comfort jolet
comfortable kellemes
comforter cumi
comforting vigasztalo
comfortless kenyelmetlen
comfy kenyelmes
comic komikus
comical furcsa
comics kepregeny
coming baratsagos
comma vesszo
command csapatok
commandant parancsnok
commander parancsnok
commander-in-chief foparancsnok
commanding impozans
commandment parancs
commando kommando
commemorative emlekezteto
commencement kezdet
commendable ajanlhato
commendation ajanlas
commendatory ajanlo
commensurable aranyos
commensurate osszemerheto
comment kommentar
commentary fejtegetes
commentator hirmagyarazo
commerce erintkezes
commercial kereskedelmi
commercialism kereskedelem
commercialization eluzletiesites
comminution apritas
comminutor borona
commiserating egyutterzo
commiseratingly egyutterzoen
commiseration egyutterzes
commission bizomany
commissioned megbizott
commissioner biztos
commitment elkotelezes
committed hu
committee bizottsag
commode komod
commodity arucikk
common altalanos
commoner kozember
commonly altalaban
commonplace banalis
commons etrend
commonwealth nemzetkozosseg
commotion felfordulas
communal kommunalis
communalism kozsegpolitika
communalist autonomista
communalistic kozsegpolitikai
commune kanton
communicable kozlekeny
communication erintkezes
communications ertesito
communion aldozas
communique kommunike
communism kommunizmus
communist kommunista
communistic kommunista
community kozosseg
commutable atvaltoztathato
commutation felcsereles
commutator atkapcsolo
commute ingazas
commuter ingazo
compact egyezseg
compaction preseles
compactness tomorseg
companion elettars
companionable baratsagos
companionship tarsasag
company csapat
comparability osszehasonlithatosag
comparative kozepfok
comparatively viszonylag
comparison egyeztetes
compartment fulke
compass iranytu
compasses korzo
compassion konyorulet
compassionate konyoruletes
compassionately konyoruletesen
compatible osszeegyeztetheto
compatriot honfitars
compelling ellenallhatatlan
compendious rovid
compendium kompendium
compensation beszamitas
compensatory kiegyenlito
comp#0232;re konferanszie
competence alkalmassag
competency alkalmassag
competent alkalmas
competition verseny
competitive verseny-
competitor konkurens
compilation kompilacio
compiler osszegyujto
complacence elegedettseg
complacency elegedettseg
complacent elozekeny
complaint baj
complaisance elozekenyseg
complaisant elozekeny
complement allitmanykiegeszito
complementary kiegeszito
complete befejezett
completely teljesen
completeness teljesseg
completion befejezes
complex bonyolult
complexion arcszin
complexity bonyolultsag
compliance elozekenyseg
compliant elozekeny
complicated bonyolult
complicity bunpartolas
compliment bok
complimentary hizelgo
compliments udvozlet
component alkatresz
comportment magatartas
composed higgadt
composer zeneszerzo
composite kompozit
composition beallitottsag
compost komposzt
composure higgadtsag
compound elegy
compounding keveres
comprehensible ertheto
comprehension ertelem
comprehensive atfogo
comprehensiveness szeleskoruseg
compress borogatas
compressibility kompresszibilitas
compressible osszenyomhato
compression osszeszoritas
compressor kompresszor
compromise kiegyezes
compt csinos
comptometer szamologep
comptroller szamvevo
compulsion eroszak
compulsive megrogzott
compulsiveness megrogzottseg
compulsory kotelezo
compunction buntudat
comrade bajtars
comradeship bajtarsisag
con ellenerv
cona kavekionto
concatenation lancolat
concave homoru
concealed rejtett
concealment elrejtes
concededly bevallottan
conceit bekepzeltseg
conceited bekepzelt
conceivable elkepzelheto
conceivably elkepzelhetoen
concentration koncentralas
concentric koncentrikus
concentrical koncentrikus
concentricity koncentrikussag
concept fogalom
conception elgondolas
conceptual elvi
conceptualization felfogas
concern aggodalom
concerned erdekelt
concerning illetoleg
concert egyetertes
concerted kozos
concertina harmonika
concession engedmeny
concessionaire engedmenyes
concessionnaire engedmenyes
conciliation bekeltetes
conciliatory bekekulonitmeny
concise rovid
concisely roviden
concision csonkitas
conclusion befejezes
conclusive donto
concoction fozet
concord egyetertes
concordance egyetertes
concordant egybehangzo
concourse csoportosulas
concrete beton
concubine agyas
concupiscence bujasag
concupiscent buja
concupisible buja
concurrence egybeeses
concurrent egyideju
concussion agyrazkodas
concussional agyrazkodasi
concussive megrazkodtato
condemnation eliteles
condemned halalraitelt
condensation cseppfolyositas
condenser gyujtolencse
condescending leereszkedo
condescendingly leereszkedoen
condescension leereszkedes
condiment fuszer
condition feltetel
conditional felteteles
conditioner legnedvesito
conditioning kondicionalas
conditions feltetelek
condo oroklakas
condolence reszvet
condom kondom
condominium oroklakas
condor kondorkeselyu
conducive elomozdito
conduciveness hasznossag
conduct eletvitel
conductance kondiktancia
conductive vezetokepes
conductor ellenor
conduit csatornazas
cone fagylalttolcser
confection csemege
confectioner cukrasz
confectionery cukraszsutemeny
confederacy allamszovetseg
confederate buntars
confederation allamszovetseg
conference adomanyozas
confessedly bevallottan
confession beismeres
confessional gyontatoszek
confessor gyontato
confetti konfetti
confidant bizalmas
confidence arcatlansag
confident bekepzelt
confidential bizalmas
confidentiality bizalmaskodas
confidentially bizalmasan
confidently bekepzelten
configuration alak
confine borton
confined szoros
confinement behatarolas
confines hatarok
confirmation igazolas
confirmatory megerosito
confirmed megrogzott
confiscation elkobzas
conflagration tuzvesz
conflict ellentet
conflicting ellentetes
conformable alkalmazkodo
conformation alakulas
conformist konformista
conformity alkalmazkodas
confounded atkozott
confrontation szembesites
confrontational szembesito
confronting szembesites
confused megzavarodott
confusion megdobbenes
conga konga
congealment alvadek
congelation alvasztas
congenial alkalmas
congenital szuletesi
congested tomott
congestion torlodas
conglomerate halom
congratulatory gratulalo
congregation egyhazkozseg
congress kongresszus
congressional kongresszusi
conifer tobozos
coniferous toboztermo
conjectural sejtett
conjecture felteves
conjugal hazassagi
conjugate egyesitett
conjugation igeragozas
conjunction kapcsolat
conjuration idezes
conjurer buvesz
conjuror buvesz
conk orr
conker vadgesztenye
connection csatlakozas
connector allonzs
conning betanulas
connivance bunpartolas
connivent osszehajlo
connoisseur muerto
conqueror hodito
conquest hoditas
conquistador hodito
consanguinity verrokonsag
conscience lelkiismeret
conscientious lelkiismeretes
conscious ontudatos
consciousness ontudat
conscript besorozott
conscriptee behivott
conscription behivas
consecrate beszentelt
consecrated felszentelt
consecration beszenteles
consecutively rendre
consensus konszenzus
consent beleegyezes
consequence fontossag
consequent kovetkezetes
consequently kovetkezeskeppen
conservancy felugyeloseg
conservation konzervalas
conservationist termeszetvedelmi
conservatism konzervativizmus
conservative konzervativ
conservator fenntarto
conserve befott
considerable jelentekeny
considerably meglehetosen
considerate elozekeny
consideration ellenszolgaltatas
considering tekintettel
consignee bizomanyos
consignment elkuldes
consistence allag
consistency allag
consistent allhatatos
consolable vigasztalhato
consolation vigasz
consolatory vigasztalo
consoling vigasztalo
consomme eroleves
consonance egybecsenges
consonancy egybecsenges
consonant egybecsengo
consonantal massalhangzoi
consonantism massalhangzo-rendszer
consort hazastars
consortium konzorcium
conspicouos feltuno
conspicuous feltuno
conspicuously feltunoen
conspicuousness feltunoseg
conspiracy osszeeskuves
conspirator osszeskuvo
conspiring bunszovetkezet
constable hadseregparancsnok
constabulary rendorseg
constancy allandosag
constant allando
constantly allandoan
constellation csillagkep
consternation megdobbenes
constipated szekrekedeses
constipation szekrekedes
constituency valasztokerulet
constituent alkoto
constituting kepzo
constitution alapszabaly
constitutionality alkotmanyossag
constrained eroltetett
constraint kenyszer
constriction osszeszorulas
constrictive osszehuzo
constrictor oriaskigyo
constructing kivitelezes
construction kivitelezes
consul konzul
consultant konzultans
consultation konzilium
consultative konzultativ
consulting szak-
consumable ego
consumables elelmiszerek
consumer fogyaszto
consumerism fogyasztas
consummate teljes
consummation beteljesites
consummative befejezett
consumption fogyasztas
contact erintkezes
contactor erintkezteto
contacts kontaktlencse
contagion fertozes
contagious fertozo
container kontener
containment behatarolas
contamination szennyezes
contemplation elmelkedes
contemplative elmelkedo
contemporary korabeli
contempt lenezes
contemptibility hitvanysag
contemptible hitvany
contemptuous gogos
contemptuously gogosen
contender versengo
content befogadokepesseg
contented elegedett
contentedly elegedetten
contention harc
contentious perbeli
contentiousness veszekedosseg
contentment elegedettseg
contest kuzdelem
contestant kuzdo
context osszefugges
contiguity erintkezes
continent foldresz
continental kontinentalis
contingency eshetoseg
contingent esetleges
continual allando
continually folyamatosan
continuance elhuzodas
continuation folytatas
continuity allandossag
continuous folyamatos
contorted eltorzult
contortion eltorzitas
contortionist gumiember
contour kontur
contra ellen
contraband csempeszet
contraceptive fogamzasgatlo
contraceptives fogamzasgatlok
contract eljegyzes
contracted kivonatos
contracting szerzodo
contraction lerovidites
contractor szallito
contractual szerzodeses
contradiction ellentmondas
contradictory ellentmondo
contrails kondenzcsik
contraption keszulek
contrapuntal ellenpontozott
contrapuntally ellenpontozva
contrapuntist ellenpontozo
contrariously rosszindulatuan
contrariwise ellenkezoleg
contrary akaratos
contrast ellentet
contravention athagas
contribution adakozas
contributor kozremukodo
contributory hozzajarulo
contrite bunbano
contritely bunbanoan
contrition bunbanat
contrivance berendezes
contriving szerkesztes
control ellenorzes
controllability kormanyozhatosag
controllable allithato
controller ellenor
controls vezerloberendezes
controversial vitakedvelo
controversy problema
contusion zuzodas
conundrum rejtely
conurbation varoshalmaz
convalescence felepules
convalescent labadozo
convection aramvezetes
convector konvektor
convenience illemhely
conveniences kenyelem
convenient alkalmas
convent kolostor
convention egyezmeny
conventional elfogadott
convergence konvergencia
convergent egyesulo
converging egyesulo
conversation beszelgetes
conversational beszedes
converse beszelgetes
conversely forditva
conversion atalakitas
converter aramatalakito
convertible atvalthato
convex domboru
convexity domborusag
convexo-concave domboru
conveyance atadas
conveyer fuvaros
conveyer-belt szallitoszalag
conveyor fuvaros
convict elitelt
conviction eliteles
convincing meggyozo
convincingly meggyozoen
convive asztaltars
convivial jokedvu
conviviality bankettezes
convivially jovialisan
convocation egybehivas
convoluted kitekert
convolution agytekerveny
convolvulus folyondar
convoy jarmukaravan
convulsion felfordulas
convulsive felforgato
coo turbekolas
cook hajoszakacs
cook's-mate hajokukta
cookbook szakacskonyv
cooked kivan
cooker tuzhely
cookery fozes
cookie keksz
cooking fozes
cooking-range sparhert
cooking-stove sparhert
cooking-tin fozolada
cook-ware konyhafelszereles
cool dogos
cooler hutotaska
coolie kuli
coolly arcatlanul
coon alak
coonskin mosomedveprem
coony agyafurt
coop halaszkosar
co-op szovetkezet
co-operate egyuttmukodo
co-operation egyuttmukodes
co-operative szovetkezet
co-ordinate egyenlo
coot punci
cootie tetu
cooty tetu
cop cseve
cope kopeny
copier fenymasolo
co-pilot masodpilota
copious boseges
copiously bosegesen
copiousness bobeszeduseg
cop-out megfutamodas
copper garas
copper-coloured rezszinu
coppers apropenz
coppice csalit
copra kopra
copse csalit
copulate kapcsolt
copulation bugas
copulative bugo
copulatory nemi
copyboy kuldonc
copying kiiras
coquetry kacerkodas
coquettish kacer
coral korall
cord kotel
cordial baratsagos
cordiality szivelyesseg
cordite kordit
cordon kordon
corduroy kordbarsony
core kabeler
coriander ciganypetrezselyem
Corinthian eletmuvesz
cork dugo
corked bedugaszolt
corker erv
corkscrew dugohuzo
corky elenk
cormorant karokatona
corn buza
corn-cob kukoricacsutka
corncob kukoricacso
corncrake haris
corn-crib kukoricagore
